Mixer name: 'msm8909-snd-card'
Number of controls: 2014
ctl	type	num	name                                     value

0	INT	3	Voice Rx Device Mute                     -1 -1 -1
1	INT	3	Voice Tx Device Mute                     -1 -1 -1
2	INT	3	Voice Tx Mute                            -1 -1 -1
3	INT	3	Voice Rx Gain                            -1 -1 -1
4	ENUM	1	TTY Mode                                 OFF
5	INT	2	Slowtalk Enable                          -1 -1
6	INT	2	Voice Topology Disable                   -1 -1
7	INT	2	HD Voice Enable                          -1 -1
8	INT	2	DTMF_Detect Rx VSID enable               -1 -1
9	INT	2	DTMF_Detect Rx Callback VSID enable      -1 -1
10	BYTE	31	CVD Version                               32  2e  33  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00
11	INT	2	Voip Tx Mute                             -1 -1
12	INT	2	Voip Rx Gain                             -1 -1
13	INT	1	Voip Mode Config                         12
14	INT	1	Voip Rate Config                         -1
15	INT	2	Voip Evrc Min Max Rate Config            1 4
16	BOOL	1	Voip Dtx Mode                            Off
17	BOOL	1	Compress Gapless Playback                Off
18	BOOL	1	HFP TX Mute                              Off
19	INT	1	HPHL Impedance                           0
20	INT	1	HPHR Impedance                           0
21	INT	1	HPH Type                                 0
22	ENUM	1	RX HPH Mode                              NORMAL
23	ENUM	1	Boost Option                             BOOST_SWITCH
24	ENUM	1	EAR PA Boost                             DISABLE
25	ENUM	1	EAR PA Gain                              POS_1P5_DB
26	ENUM	1	Speaker Boost                            ENABLE
27	ENUM	1	Ext Spk Boost                            ENABLE
28	ENUM	1	LOOPBACK Mode                            DISABLE
29	INT	1	ADC1 Volume                              4
30	INT	1	ADC2 Volume                              4
31	INT	1	ADC3 Volume                              4
32	INT	1	RX1 Digital Volume                       84
33	INT	1	RX2 Digital Volume                       84
34	INT	1	RX3 Digital Volume                       84
35	INT	1	DEC1 Volume                              84
36	INT	1	DEC2 Volume                              84
37	INT	1	IIR1 INP1 Volume                         84
38	INT	1	IIR1 INP2 Volume                         84
39	INT	1	IIR1 INP3 Volume                         84
40	INT	1	IIR1 INP4 Volume                         84
41	INT	1	IIR2 INP1 Volume                         84
42	ENUM	1	TX1 HPF cut off                          MIN_3DB_4Hz
43	ENUM	1	TX2 HPF cut off                          MIN_3DB_4Hz
44	BOOL	1	TX1 HPF Switch                           Off
